Image;Time(s);Temperature(oC)
GGQT_S6_2-00006;612.4149866672283;250.11441137049061
GGQT_S6_2-00007;617.1179867358928;250.151729631368
GGQT_S6_2-00008;621.7119865985637;250.09319248391253
GGQT_S6_2-00009;626.4149866672283;250.20987476123514
GGQT_S6_2-00010;631.2119865985637;250.04562770087114
GGQT_S6_2-00011;634.9149866672283;250.2171156397724
GGQT_S6_2-00012;639.5249868007427;249.93694240435929
GGQT_S6_2-00013;644.2279866309887;250.0391557282214
GGQT_S6_2-00014;648.8219867320781;249.87122707596126
GGQT_S6_2-00015;653.4309866996532;250.06550675875556
GGQT_S6_2-00016;657.1189866634136;250.05097243047607
GGQT_S6_2-00017;661.7279866309887;250.1034915825123
GGQT_S6_2-00018;666.3229866595989;250.1250208360285
GGQT_S6_2-00019;671.0259867282634;250.03254283906088
GGQT_S6_2-00020;675.6349866958385;250.07972421841401
GGQT_S6_2-00021;680.3229866595989;250.05683927931022
GGQT_S6_2-00022;684.931986627174;250.02708226304654
GGQT_S6_2-00023;689.6359866233593;249.91570673741774
GGQT_S6_2-00024;694.228986796928;249.92943866911884
GGQT_S6_2-00025;698.931986627174;250.05373708177459
GGQT_S6_2-00026;703.6359866233593;249.93846290877764
GGQT_S6_2-00027;708.2449865909343;250.0643846008085
GGQT_S6_2-00028;712.8389866920238;249.947771655998
GGQT_S6_2-00029;717.5419867606884;250.1259838935175
GGQT_S6_2-00030;722.1359866233593;249.97312227180825
GGQT_S6_2-00031;726.7459867568737;250.0596894947218
GGQT_S6_2-00032;730.4489868255382;250.01778086312652
GGQT_S6_2-00033;735.0429866882091;250.05514306432084
GGQT_S6_2-00034;739.7459867568737;250.0186613560779
GGQT_S6_2-00035;744.3399866195446;249.95574272371007
GGQT_S6_2-00036;749.0429866882091;249.98339810929423
GGQT_S6_2-00037;753.6529868217235;250.08123061210242
GGQT_S6_2-00038;758.3559866519695;249.88381829346898
GGQT_S6_2-00039;762.949986753059;250.00571517411933
GGQT_S6_2-00040;767.6529868217235;249.9375432930726
GGQT_S6_2-00041;772.2469866843944;249.98889052162966
GGQT_S6_2-00042;776.949986753059;249.9580315029502
GGQT_S6_2-00043;781.6529868217235;249.97315754389476
GGQT_S6_2-00044;786.2629867168193;249.95436407898742
GGQT_S6_2-00045;790.9509866805797;250.00119827777945
GGQT_S6_2-00046;795.5599866481548;249.97969495874705
GGQT_S6_2-00047;800.1539867492443;250.07154049910676
GGQT_S6_2-00048;803.8569868179088;249.93592658698051
GGQT_S6_2-00049;808.5599866481548;250.00707236090767
GGQT_S6_2-00050;813.1699867816692;249.94522823538242
GGQT_S6_2-00051;837.779986676765;249.95777826975905
GGQT_S6_2-00052;838.779986676765;249.90617551381297
